epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7686,1.44276,3.48812,1.72838,0.00373,1,0.08388,0.02274,1.45504,4.31216,1.9041,6.668e-05,6.668e-05,6.668e-05
2,41.4921,1.32788,3.20244,1.49383,0.0036,1,0.31214,0.16576,1.19055,4.05783,1.57505,0.000148545,0.000148545,0.000148545
3,71.1134,1.27423,2.73453,1.4436,0.0035,1,0.50941,0.25854,1.13645,3.78434,1.40886,0.000228759,0.000228759,0.000228759
4,91.7887,1.30579,2.34362,1.40008,0.00329,0.94444,0.55104,0.28138,1.2074,3.58875,1.39087,0.000307323,0.000307323,0.000307323
5,126.231,1.20434,2.21904,1.34798,0.00346,1,0.53161,0.29829,1.21181,3.54181,1.43595,0.000384237,0.000384237,0.000384237
6,168.575,1.22844,2.09202,1.41748,0.00346,1,0.58102,0.31769,1.22287,3.39657,1.38914,0.0004595,0.0004595,0.0004595
7,210.598,1.17788,1.86039,1.30336,0.491,0.57204,0.57621,0.28119,1.33252,3.31529,1.55454,0.000533113,0.000533113,0.000533113
8,238.823,1.25233,1.90162,1.3352,0.51754,0.6453,0.64051,0.35139,1.40357,3.2754,1.50426,0.000605076,0.000605076,0.000605076
9,258.973,1.26596,1.78106,1.26318,0.62627,0.26478,0.62024,0.35073,1.38389,3.35098,1.58796,0.000675388,0.000675388,0.000675388
10,278.878,1.27225,1.84629,1.36102,0.60451,0.352,0.60885,0.3268,1.48661,3.35375,1.59752,0.00074405,0.00074405,0.00074405
11,298.409,1.12702,1.62688,1.31191,0.63521,0.58335,0.74712,0.43134,1.49928,2.95372,1.70557,0.000811062,0.000811062,0.000811062
12,318.16,1.16516,1.64897,1.29359,0.71684,0.51735,0.63368,0.28721,1.49879,3.07259,1.79746,0.000876424,0.000876424,0.000876424
13,347.486,1.21515,1.75243,1.37788,0.67338,0.45421,0.5976,0.33326,1.38876,3.28461,1.66685,0.000940135,0.000940135,0.000940135
14,390.862,1.1481,1.73329,1.32762,1,0.14406,0.40446,0.22359,1.66161,3.90655,2.2356,0.0010022,0.0010022,0.0010022
15,435.218,1.21988,1.6361,1.34372,0.59056,0.25884,0.38549,0.14868,1.49042,3.64428,1.78775,0.00106261,0.00106261,0.00106261
16,475.358,1.14764,1.52765,1.2539,0.60597,0.46727,0.57743,0.18617,1.73314,3.39128,2.03319,0.00112137,0.00112137,0.00112137
17,495.82,1.20834,1.65034,1.35677,0.73078,0.58887,0.70988,0.37241,1.59277,2.85838,2.10954,0.00117848,0.00117848,0.00117848
18,515.038,1.14478,1.51442,1.24968,0.83702,0.52383,0.73825,0.36339,1.6043,2.901,2.04741,0.00123394,0.00123394,0.00123394
19,534.377,1.08861,1.48483,1.25338,0.80393,0.56556,0.71062,0.38153,1.56046,2.87349,2.34507,0.00128774,0.00128774,0.00128774
20,573.349,1.13259,1.43305,1.30704,0.9238,0.51241,0.72939,0.40066,1.70639,2.82325,1.89236,0.0013399,0.0013399,0.0013399
21,616.193,1.1836,1.49596,1.30484,0.9408,0.56838,0.73042,0.40811,1.56809,2.78608,1.75116,0.00133693,0.00133693,0.00133693
22,653.96,1.18234,1.36875,1.242,0.67759,0.62962,0.67583,0.35028,1.70342,2.7669,1.99689,0.00132043,0.00132043,0.00132043
23,693.103,1.18274,1.35386,1.21492,0.70395,0.51282,0.57747,0.29932,1.68392,2.75072,1.89493,0.00130393,0.00130393,0.00130393
24,736.113,1.10928,1.38573,1.23217,0.69385,0.33603,0.43111,0.23046,1.62867,3.25516,1.89125,0.00128742,0.00128742,0.00128742
25,779.301,1.04659,1.25995,1.18398,0.5537,0.43162,0.36908,0.1997,1.65932,3.64836,2.02149,0.00127092,0.00127092,0.00127092
26,822.439,1.00769,1.20462,1.20781,0.40759,0.54527,0.41061,0.20868,1.82426,3.88904,2.09641,0.00125442,0.00125442,0.00125442
27,855.579,1.04849,1.33359,1.21677,0.36855,0.50855,0.40667,0.20623,1.83208,4.56153,2.15575,0.00123791,0.00123791,0.00123791
28,898.116,1.15021,1.38392,1.27749,0.20202,0.32051,0.14762,0.07622,2.10681,6.13533,2.57441,0.00122141,0.00122141,0.00122141
29,940.297,1.04412,1.22585,1.21014,0.57884,0.32051,0.33066,0.18744,1.89733,4.3989,2.51006,0.00120491,0.00120491,0.00120491
30,979.143,0.99769,1.21797,1.19089,0.65737,0.26496,0.38595,0.21989,1.78648,4.15279,2.34999,0.0011884,0.0011884,0.0011884
31,1003.15,0.98836,1.1693,1.17103,0.46682,0.79487,0.60555,0.34528,1.72154,3.87264,1.98873,0.0011719,0.0011719,0.0011719
32,1021.77,0.98007,1.04613,1.12047,0.6285,0.77726,0.74786,0.36568,1.84875,2.22967,2.0729,0.0011554,0.0011554,0.0011554
33,1040.7,0.93915,1.15607,1.18604,0.72457,0.68189,0.70698,0.39458,1.74028,2.07039,1.8033,0.00113889,0.00113889,0.00113889
34,1059.88,1.0429,1.0986,1.17254,0.75584,0.65443,0.69887,0.38967,1.60864,2.18049,1.71542,0.00112239,0.00112239,0.00112239
35,1078.42,1.04554,1.1759,1.19874,0.7485,0.73932,0.70452,0.39573,1.56936,2.12362,1.63067,0.00110589,0.00110589,0.00110589
36,1097.41,1.02659,1.11108,1.17393,0.87396,0.68153,0.74038,0.42639,1.54549,2.16369,1.65085,0.00108938,0.00108938,0.00108938
37,1116.27,0.9234,1.03697,1.12781,0.86072,0.70085,0.76429,0.41027,1.52455,2.11466,1.67606,0.00107288,0.00107288,0.00107288
38,1135.17,0.952,0.99714,1.13708,0.88892,0.72624,0.81528,0.45433,1.57663,1.82633,1.75107,0.00105638,0.00105638,0.00105638
39,1153.69,0.95296,1.02,1.18579,0.72797,0.73554,0.76516,0.44972,1.57185,1.81844,1.77801,0.00103987,0.00103987,0.00103987
40,1172.13,0.94668,0.98743,1.14854,0.72497,0.62001,0.70769,0.40851,1.62719,2.01163,1.85618,0.00102337,0.00102337,0.00102337
41,1190.49,0.9561,1.00779,1.13581,0.81411,0.60791,0.75573,0.3876,1.72733,2.1324,1.89016,0.00100687,0.00100687,0.00100687
42,1209.02,0.89179,0.9294,1.07421,0.74526,0.52738,0.67222,0.36984,1.62696,2.41282,1.81691,0.000990365,0.000990365,0.000990365
43,1227.25,0.9474,0.9836,1.0955,0.68994,0.53753,0.62591,0.34093,1.57482,2.44399,1.81156,0.000973861,0.000973861,0.000973861
44,1247.89,0.83347,0.92055,1.09285,0.81382,0.66999,0.76882,0.44789,1.64117,2.20144,1.92794,0.000957358,0.000957358,0.000957358
45,1273.22,0.87155,0.93309,1.10201,0.95911,0.69605,0.81005,0.50758,1.54045,1.91548,1.80432,0.000940855,0.000940855,0.000940855
46,1291.72,0.85162,0.95683,1.07141,0.72468,0.82306,0.77793,0.49718,1.47304,1.69689,1.71212,0.000924352,0.000924352,0.000924352
47,1309.74,0.79061,0.88075,1.04415,0.83995,0.70085,0.78828,0.49425,1.4291,1.57626,1.60879,0.000907848,0.000907848,0.000907848
48,1327.78,0.79414,0.86758,1.07954,0.61677,0.64007,0.64694,0.38961,1.51092,2.46311,1.76817,0.000891345,0.000891345,0.000891345
49,1345.73,0.81744,0.83878,1.10222,0.59746,0.53076,0.53975,0.32349,1.51149,2.82483,1.76954,0.000874842,0.000874842,0.000874842
50,1363.97,0.76827,0.87887,1.07079,0.64231,0.4983,0.57285,0.32693,1.56612,2.84184,1.81204,0.000858338,0.000858338,0.000858338
51,1381.91,0.77036,0.8335,1.07601,0.59574,0.5725,0.66252,0.35978,1.60991,2.69614,1.8155,0.000841835,0.000841835,0.000841835
52,1400.02,0.7911,0.82041,1.05733,0.60643,0.79518,0.68057,0.39406,1.50807,2.40497,1.64699,0.000825332,0.000825332,0.000825332
53,1418.03,0.76831,0.79966,1.0469,0.59515,0.81532,0.63803,0.351,1.52139,2.20096,1.67256,0.000808828,0.000808828,0.000808828
54,1436.11,0.80199,0.8401,1.05494,0.6545,0.80018,0.64473,0.3643,1.54806,2.09255,1.6744,0.000792325,0.000792325,0.000792325
55,1454.09,0.7984,0.83887,1.04393,0.66224,0.76229,0.64177,0.38362,1.49276,1.9767,1.64425,0.000775822,0.000775822,0.000775822
56,1472.08,0.77974,0.75794,1.04626,0.75553,0.67949,0.67874,0.41436,1.43726,1.73286,1.64824,0.000759318,0.000759318,0.000759318
57,1489.95,0.71904,0.7836,1.00651,0.7015,0.81655,0.70985,0.4287,1.39165,1.61954,1.63843,0.000742815,0.000742815,0.000742815
58,1508.04,0.72395,0.78424,1.01772,0.7724,0.83625,0.72938,0.45529,1.35672,1.49381,1.62436,0.000726312,0.000726312,0.000726312
59,1527.71,0.77189,0.83059,1.06184,0.79148,0.85043,0.77922,0.50513,1.33925,1.43483,1.61691,0.000709809,0.000709809,0.000709809
60,1567.39,0.78316,0.79086,1.02614,0.77606,0.85043,0.84678,0.56198,1.30517,1.32568,1.50481,0.000693305,0.000693305,0.000693305
61,1601.5,0.68689,0.70435,1.00574,0.90986,0.78922,0.89391,0.55598,1.36296,1.27553,1.51228,0.000676802,0.000676802,0.000676802
62,1621.75,0.66769,0.67384,1.00424,0.92519,0.85008,0.87156,0.5687,1.35333,1.30949,1.51964,0.000660299,0.000660299,0.000660299
63,1642.12,0.71668,0.74344,1.01211,0.91257,0.85043,0.87217,0.58008,1.31552,1.34221,1.49088,0.000643795,0.000643795,0.000643795
64,1662.81,0.69072,0.69343,1.02179,0.86833,0.85043,0.87619,0.57839,1.26084,1.34711,1.46326,0.000627292,0.000627292,0.000627292
65,1683.16,0.69687,0.71375,1.04029,0.90721,0.85043,0.88094,0.58823,1.24165,1.33756,1.48432,0.000610789,0.000610789,0.000610789
66,1703.53,0.65513,0.66714,0.98653,0.91231,0.84445,0.86778,0.57421,1.29398,1.35354,1.50244,0.000594286,0.000594286,0.000594286
67,1724.21,0.71864,0.7015,1.03697,0.99971,0.84866,0.89243,0.57543,1.34418,1.32523,1.52176,0.000577782,0.000577782,0.000577782
68,1744.82,0.64781,0.66411,0.98188,0.99027,0.84167,0.88261,0.55976,1.37198,1.43328,1.56245,0.000561279,0.000561279,0.000561279
69,1765.16,0.69295,0.68833,1.02523,0.90465,0.85043,0.88299,0.53295,1.39816,1.44582,1.55928,0.000544776,0.000544776,0.000544776
70,1785.55,0.61478,0.6525,0.96734,0.83661,0.81396,0.88299,0.52408,1.44894,1.40104,1.60817,0.000528272,0.000528272,0.000528272
71,1805.93,0.64156,0.65994,0.99776,0.83768,0.79036,0.85919,0.49628,1.48761,1.39771,1.64395,0.000511769,0.000511769,0.000511769
72,1826.67,0.66747,0.6976,0.99792,0.84869,0.79067,0.88838,0.48488,1.5619,1.3444,1.6927,0.000495266,0.000495266,0.000495266
73,1846.9,0.67696,0.67608,1.0053,0.85142,0.85043,0.88185,0.45239,1.59017,1.32757,1.73115,0.000478762,0.000478762,0.000478762
74,1867.04,0.63198,0.69413,0.98347,0.82134,0.85043,0.86824,0.44266,1.55992,1.35159,1.69538,0.000462259,0.000462259,0.000462259
75,1887.06,0.64567,0.68694,1.01128,0.86402,0.77334,0.86269,0.45315,1.53367,1.40784,1.66349,0.000445756,0.000445756,0.000445756
76,1915.7,0.63547,0.62052,0.96071,0.9103,0.77229,0.82838,0.48475,1.45065,1.32687,1.61835,0.000429253,0.000429253,0.000429253
77,1942.11,0.60139,0.61225,0.9682,0.88815,0.772,0.83767,0.48903,1.4333,1.29109,1.60696,0.000412749,0.000412749,0.000412749
78,1972.16,0.5952,0.60913,0.9546,0.80507,0.77891,0.86156,0.51831,1.42595,1.2804,1.62259,0.000396246,0.000396246,0.000396246
79,1992.7,0.65762,0.66289,0.99875,0.90355,0.73932,0.86593,0.53361,1.41209,1.27058,1.6243,0.000379743,0.000379743,0.000379743
80,2012.83,0.62485,0.63071,0.96856,0.87035,0.79487,0.84922,0.53636,1.34629,1.23637,1.55957,0.000363239,0.000363239,0.000363239
81,2032.77,0.59313,0.59344,0.95786,0.90687,0.79487,0.87003,0.54997,1.33248,1.1984,1.53598,0.000346736,0.000346736,0.000346736
82,2053.17,0.68352,0.63111,0.9869,0.90385,0.79487,0.86432,0.54751,1.32756,1.20778,1.52703,0.000330233,0.000330233,0.000330233
83,2073.16,0.54367,0.5938,0.96739,0.8681,0.85043,0.88358,0.56827,1.33249,1.21649,1.53078,0.000313729,0.000313729,0.000313729
84,2093.38,0.57623,0.57729,0.9511,0.86927,0.85043,0.88198,0.56933,1.33905,1.19628,1.55689,0.000297226,0.000297226,0.000297226
85,2113.33,0.60185,0.60071,0.99038,0.87095,0.85043,0.87856,0.57325,1.34823,1.18823,1.56956,0.000280723,0.000280723,0.000280723
86,2133.37,0.59584,0.57935,0.97462,0.84422,0.84374,0.87842,0.59052,1.35029,1.23132,1.56814,0.00026422,0.00026422,0.00026422
87,2153.26,0.59686,0.58071,0.97381,0.81968,0.85043,0.87263,0.59062,1.35293,1.26334,1.57364,0.000247716,0.000247716,0.000247716
88,2173.63,0.53429,0.57051,0.92281,0.86743,0.79487,0.87545,0.57871,1.34182,1.24064,1.57028,0.000231213,0.000231213,0.000231213
89,2193.96,0.52708,0.555,0.96469,0.87025,0.79487,0.8842,0.56851,1.34628,1.21816,1.5694,0.00021471,0.00021471,0.00021471
90,2214.53,0.53817,0.51806,0.95616,0.92473,0.78137,0.89481,0.57977,1.34866,1.20376,1.56951,0.000198206,0.000198206,0.000198206
91,2235.19,0.54975,0.66279,0.9303,0.99446,0.77238,0.89321,0.57863,1.34855,1.18859,1.56858,0.000181703,0.000181703,0.000181703
92,2255.35,0.476,0.67737,0.91033,0.85709,0.84215,0.89528,0.56479,1.3431,1.14151,1.55808,0.0001652,0.0001652,0.0001652
93,2276.18,0.45979,0.59613,0.91381,0.91402,0.79268,0.88485,0.57142,1.34688,1.13615,1.56066,0.000148696,0.000148696,0.000148696
94,2308.03,0.49108,0.65884,0.90804,0.91028,0.79239,0.88485,0.55972,1.34566,1.13382,1.56358,0.000132193,0.000132193,0.000132193
95,2347.17,0.48581,0.61119,0.89193,0.97912,0.84617,0.9107,0.56968,1.34535,1.1349,1.56834,0.00011569,0.00011569,0.00011569
96,2372.78,0.46478,0.59513,0.87619,0.96733,0.84514,0.91519,0.59335,1.35068,1.14637,1.58705,9.91865e-05,9.91865e-05,9.91865e-05
97,2399.27,0.42035,0.57282,0.86392,0.96043,0.8443,0.91519,0.59454,1.36022,1.1581,1.60093,8.26832e-05,8.26832e-05,8.26832e-05
98,2420.34,0.43052,0.58783,0.90927,0.95562,0.84415,0.91519,0.59019,1.36338,1.14862,1.6087,6.61799e-05,6.61799e-05,6.61799e-05
99,2440.51,0.42997,0.59371,0.86192,0.95214,0.84424,0.91519,0.58804,1.35752,1.1434,1.59859,4.96766e-05,4.96766e-05,4.96766e-05
100,2460.68,0.45068,0.5769,0.89948,0.88072,0.78855,0.90782,0.59507,1.35579,1.13704,1.59102,3.31733e-05,3.31733e-05,3.31733e-05
